,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,,sheet_name,animal_ids,cohort,strain
53,2022-07-29,3,4,3.1v3.2,Ezra,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,Master Assignment List,"('3.1', '3.2')",pilot_2,CD1
54,2022-07-29,4,1,4.1v4.3,Albert,4.3,4.3,4.1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.1,4.3,tie,4.1,4.3,4.1,,Master Assignment List,"('4.1', '4.3')",pilot_2,CD1
55,2022-07-29,4,2,4.2v4.4,Catalina,4.2,4.4,4.2,4.2,4.4,4.4,4.4,tie,tie,4.2,4.4,4.4,4.4,4.2,4.4,tie,tie,4.4,4.2,,Master Assignment List,"('4.2', '4.4')",pilot_2,CD1
56,2022-07-29,4,3,4.1v4.4,Jocelyn,4.4,4.4,4.4,4.1,4.4,tie,4.4,4.1,tie,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.1,,Master Assignment List,"('4.1', '4.4')",pilot_2,CD1
57,2022-07-29,4,4,4.2v4.3,Meghan,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.3,tie,4.2,4.3,4.3,4.3,4.2,4.3,4.2,4.3,4.2,,Master Assignment List,"('4.2', '4.3')",pilot_2,CD1
58,2022-07-29,4,2,4.3v4.4,Naeliz,4.3,4.3,4.4,4.3,tie,4.3,4.4,4.3,4.4,4.4,4.4,4.3,4.4,4.4,4.3,4.4,4.4,4.3,4.3,,Master Assignment List,"('4.3', '4.4')",pilot_2,CD1
59,2022-07-29,4,2,4.1v4.2,Erika,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.2,4.2,4.2,4.2,4.1,4.1,4.2,4.2,4.1,4.2,,Master Assignment List,"('4.1', '4.2')",pilot_2,CD1
60,2022-07-29,5,3,5.1v5.3,Ezra,5.3,5.1,5.1,5.1,5.1,5.1,5.1,5.3,5.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,,Master Assignment List,"('5.1', '5.3')",pilot_2,
61,2022-07-29,5,4,5.2v5.4,Isabel,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.2,5.4,5.4,5.4,5.2,5.4,5.4,,Master Assignment List,"('5.2', '5.4')",pilot_2,
62,2022-07-29,5,1,5.1v5.4,Albert,5.1,5.1,tie,5.1,5.1,5.4,5.4,5.4,5.1,5.4,5.1,5.4,5.1,5.4,5.1,5.1,5.1,5.4,5.4,,Master Assignment List,"('5.1', '5.4')",pilot_2,
63,2022-07-29,5,2,5.2v5.3,Jocelyn,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,tie,5.2,tie,tie,tie,5.2,5.2,tie,5.2,5.2,,Master Assignment List,"('5.2', '5.3')",pilot_2,
64,2022-07-29,5,4,5.3v5.4,Meghan,5.3,5.3,5.4,5.4,tie,5.4,5.4,5.3,5.4,tie,tie,tie,5.4,tie,tie,tie,tie,5.3,5.4,,Master Assignment List,"('5.3', '5.4')",pilot_2,
65,2022-07-29,5,3,5.1v5.2,Albert,5.1,tie,tie,5.2,tie,tie,5.2,5.1,5.2,5.2,5.2,5.2,5.2,tie,5.2,5.1,5.2,5.2,5.2,,Master Assignment List,"('5.1', '5.2')",pilot_2,
66,2022-07-29,6,1,6.1v6.3,Naeliz,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.3,6.1,6.1,6.1,6.3,6.1,6.1,tie,6.1,,Master Assignment List,"('6.1', '6.3')",pilot_2,
67,2022-07-29,6,2,6.2v6.4,Isabel,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,,Master Assignment List,"('6.2', '6.4')",pilot_2,
68,2022-07-29,6,3,6.1v6.4,Catalina,6.1,6.1,6.1,6.4,tie,6.1,6.1,6.1,6.1,6.4,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,,Master Assignment List,"('6.1', '6.4')",pilot_2,
69,2022-07-29,6,4,6.2v6.3,Erika,6.2,6.3,6.3,6.3,6.2,6.3,6.3,6.2,6.3,6.2,6.2,6.3,6.2,6.2,6.2,6.3,6.3,6.3,6.3,,Master Assignment List,"('6.2', '6.3')",pilot_2,
70,2022-07-29,6,1,6.3v6.4,Ezra,6.4,tie,6.3,6.3,tie,tie,6.3,6.3,6.4,6.3,6.4,6.3,6.3,6.3,6.3,6.3,6.4,tie,6.3,,Master Assignment List,"('6.3', '6.4')",pilot_2,
71,2022-07-29,6,1,6.1v6.2,Jocelyn,6.1,6.1,6.2,6.1,6.1,6.2,6.1,6.2,6.2,6.1,6.2,6.1,tie,6.2,6.2,6.2,6.2,6.1,6.1,,Master Assignment List,"('6.1', '6.2')",pilot_2,
