,winner,pilot,action,index,average_action_per_15min,average_action_per_1min,average_action_per_30min,strain
44,2.4,3,f,1,0.08333333333333333,0.005555555555555555,0.16666666666666666,C57
45,3.1,1,c,8,1.0,0.06666666666666667,2.0,CD1
46,3.1,1,f,23,2.875,0.19166666666666668,5.75,CD1
47,3.1,2,ag,3,0.10714285714285714,0.007142857142857143,0.21428571428571427,CD1
48,3.1,2,as,28,1.0,0.06666666666666667,2.0,CD1
49,3.1,2,c,30,1.0714285714285714,0.07142857142857142,2.142857142857143,CD1
50,3.1,2,f,25,0.8928571428571429,0.05952380952380953,1.7857142857142858,CD1
51,3.1,2,fs,37,1.3214285714285714,0.08809523809523809,2.642857142857143,CD1
52,3.2,1,c,2,0.2,0.013333333333333334,0.4,CD1
53,3.2,1,g,6,0.6,0.04,1.2,CD1
54,3.2,2,ag,3,0.09375,0.00625,0.1875,CD1
55,3.2,2,as,4,0.125,0.008333333333333333,0.25,CD1
56,3.2,2,c,3,0.09375,0.00625,0.1875,CD1
57,3.2,2,fs,29,0.90625,0.06041666666666667,1.8125,CD1
58,3.3,1,c,6,0.6,0.04,1.2,CD1
59,3.3,1,g,12,1.2,0.08,2.4,CD1
60,3.3,1,groom (g),2,0.2,0.013333333333333334,0.4,CD1
61,3.3,2,ag,5,0.15625,0.010416666666666666,0.3125,CD1
62,3.3,2,as,15,0.46875,0.03125,0.9375,CD1
63,3.3,2,c,3,0.09375,0.00625,0.1875,CD1
64,3.3,2,f,4,0.125,0.008333333333333333,0.25,CD1
65,3.3,2,fs,35,1.09375,0.07291666666666667,2.1875,CD1
66,3.4,1,c,5,0.5,0.03333333333333333,1.0,CD1
67,3.4,1,f,1,0.1,0.006666666666666667,0.2,CD1
68,3.4,2,ag,12,0.375,0.025,0.75,CD1
69,3.4,2,as,14,0.4375,0.029166666666666667,0.875,CD1
70,3.4,2,c,3,0.09375,0.00625,0.1875,CD1
71,3.4,2,f,2,0.0625,0.004166666666666667,0.125,CD1
72,3.4,2,fs,23,0.71875,0.04791666666666667,1.4375,CD1
73,4.1,1,c,6,0.4,0.02666666666666667,0.8,CD1
74,4.1,1,f,5,0.3333333333333333,0.02222222222222222,0.6666666666666666,CD1
75,4.1,1,g,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
76,4.1,1,m,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
77,4.1,2,ag,4,0.18181818181818182,0.012121212121212121,0.36363636363636365,CD1
78,4.1,2,as,51,2.3181818181818183,0.15454545454545457,4.636363636363637,CD1
79,4.1,2,c,17,0.7727272727272727,0.051515151515151514,1.5454545454545454,CD1
80,4.1,2,f,29,1.3181818181818181,0.08787878787878788,2.6363636363636362,CD1
81,4.1,2,fs,48,2.1818181818181817,0.14545454545454545,4.363636363636363,CD1
82,4.1,2,m,8,0.36363636363636365,0.024242424242424242,0.7272727272727273,CD1
83,4.2,1,c,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
84,4.2,1,f,2,0.13333333333333333,0.008888888888888889,0.26666666666666666,CD1
85,4.2,1,g,4,0.26666666666666666,0.017777777777777778,0.5333333333333333,CD1
86,4.2,1,groom (g),2,0.13333333333333333,0.008888888888888889,0.26666666666666666,CD1
87,4.2,1,m,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
88,4.2,2,ag,1,0.038461538461538464,0.002564102564102564,0.07692307692307693,CD1
89,4.2,2,as,46,1.7692307692307692,0.11794871794871795,3.5384615384615383,CD1
90,4.2,2,c,17,0.6538461538461539,0.04358974358974359,1.3076923076923077,CD1
91,4.2,2,f,89,3.423076923076923,0.2282051282051282,6.846153846153846,CD1
92,4.2,2,fs,56,2.1538461538461537,0.14358974358974358,4.3076923076923075,CD1
93,4.2,3,c,5,0.3333333333333333,0.02222222222222222,0.6666666666666666,CD1
94,4.2,3,f,8,0.5333333333333333,0.035555555555555556,1.0666666666666667,CD1
95,4.2,3,m,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
96,4.3,1,c,1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
97,4.3,1,g,8,0.5333333333333333,0.035555555555555556,1.0666666666666667,CD1
98,4.3,1,m,3,0.2,0.013333333333333334,0.4,CD1
99,4.3,1,mount (m),1,0.06666666666666667,0.0044444444444444444,0.13333333333333333,CD1
100,4.3,2,ag,13,0.5,0.03333333333333333,1.0,CD1
101,4.3,2,as,25,0.9615384615384616,0.06410256410256411,1.9230769230769231,CD1
102,4.3,2,fs,25,0.9615384615384616,0.06410256410256411,1.9230769230769231,CD1
103,4.3,3,ag,1,0.07692307692307693,0.005128205128205128,0.15384615384615385,CD1
104,4.3,3,c,25,1.9230769230769231,0.12820512820512822,3.8461538461538463,CD1
105,4.3,3,f,17,1.3076923076923077,0.08717948717948718,2.6153846153846154,CD1
