,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,trial_20_winner,sheet_name,animal_ids,cohort,strain
37,2022-05-19,4,4.0,4.3 v 4.4,,4.3,4.4,4.3,4.4,4.4,4.3,4.4,4.3,tie,4.3,4.3,4.4,4.3,4.4,4.4,4.4,4.4,4.3,4.3,4.3,Master Master,"('4.3', '4.4')",pilot_1,CD1
38,2022-05-19,4,1.0,4.1 v 4.3,,4.1,4.1,4.3,tie,4.3,4.3,4.1,4.1,4.3,tie,4.3,4.3,4.1,4.1,tie,4.3,4.3,4.1,4.3,,Master Master,"('4.1', '4.3')",pilot_1,CD1
39,2022-05-19,4,2.0,4.2 v 4.4,,4.4,4.2,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4.4,4.2,NO TRIAL,Master Master,"('4.2', '4.4')",pilot_1,CD1
40,2022-05-19,4,3.0,4.1 v 4.4,,4.1,4.1,4.1,4.1,4.1,4.4,4.4,4.1,4.4,4.1,4.4,4.4,4.4,4.4,tie,4.1,4.1,4.1,4.4,4.4,Master Master,"('4.1', '4.4')",pilot_1,CD1
41,2022-05-19,4,4.0,4.2 v 4.3,,4.2,4.2,4.2,4.3,tie,4.3,4.3,4.3,4.2,4.3,4.2,4.3,4.2,4.3,4.3,tie,4.3,4.3,4.2,,Master Master,"('4.2', '4.3')",pilot_1,CD1
42,2022-05-20,4,2.0,4.1 v 4.4,,4.1,4.1,4.1,4.1,4.1,4.4,4.4,4.1,4.4,4.1,4.4,4.4,4.4,4.4,4.1,tie,4.1,4.1,4.4,4.4,Master Master,"('4.1', '4.4')",pilot_1,CD1
43,2022-05-20,4,1.0,4.2 v 4.3,,4.3,4.3,Tie,4.3,4.3,Tie,4.2,Tie,4.2,4.2,4.3,4.3,4.2,4.2,4.3,Tie,4.3,4.3,4.3,4.2,Master Master,"('4.2', '4.3')",pilot_1,CD1
44,2022-05-20,4,4.0,4.1 v 4.3,,4.3,4.3,tie,4.1,4.1,4.1,4.1,4.3,4.1,4.3,4.1,4.3,4.1,4.1,4.1,4.1,4.1,4.1,4.1,,Master Master,"('4.1', '4.3')",pilot_1,CD1
45,2022-05-20,4,3.0,4.2 v 4.4,,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,tie,4.4,4.4,4.2,4.2,4.4,4.2,,Master Master,"('4.2', '4.4')",pilot_1,CD1
46,2022-05-20,4,2.0,4.1 v 4.2,,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,tie,4.1,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,Master Master,"('4.1', '4.2')",pilot_1,CD1
47,2022-05-20,4,1.0,4.3 v 4.4,,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.3,4.4,4.4,4.4,4.3,4.3,4.4,Tie,4.4,4.3,Master Master,"('4.3', '4.4')",pilot_1,CD1
