,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,trial_20_winner,mouse_1_wins,mouse_2_wins,ties,sheet_name,animal_ids,cohort,strain,index
33,2022-05-20,3,1.0,3.2 v 3.4,,3.2,3.2,3.4,3.4,Tie,3.2,3.2,3.2,3.2,3.4,3.4,3.2,3.2,3.4,3.4,3.2,3.2,3.4,3.4,NO TRIAL,0.0,0,1.0,Master Master,"('3.2', '3.4')",pilot_1,CD1,33
34,2022-05-20,3,3.0,3.3 v 3.4,,3.4,3.3,3.3,3.3,3.3,3.4,3.3,3.3,3.4,tie,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,,checked whole row,,Master Master,"('3.3', '3.4')",pilot_1,CD1,34
35,2022-05-20,3,1.4,3.1 v 3.4,,3.4,3.4,3.1,3.1,3.4,3.1,3.1,3.4,3.1,3.1,3.1,3.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.0,0,0.0,Master Master,"('3.1', '3.4')",pilot_1,CD1,35
36,2022-05-19,4,3.0,4.1 v 4.2,,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,0.0,0,0.0,Master Master,"('4.1', '4.2')",pilot_1,CD1,36
37,2022-05-19,4,4.0,4.3 v 4.4,,4.3,4.4,4.3,4.4,4.4,4.3,4.4,4.3,tie,4.3,4.3,4.4,4.3,4.4,4.4,4.4,4.4,4.3,4.3,4.3,,,,Master Master,"('4.3', '4.4')",pilot_1,CD1,37
38,2022-05-19,4,1.0,4.1 v 4.3,,4.1,4.1,4.3,tie,4.3,4.3,4.1,4.1,4.3,tie,4.3,4.3,4.1,4.1,tie,4.3,4.3,4.1,4.3,,0.0,0,3.0,Master Master,"('4.1', '4.3')",pilot_1,CD1,38
39,2022-05-19,4,2.0,4.2 v 4.4,,4.4,4.2,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4.4,4.2,NO TRIAL,0.0,0,0.0,Master Master,"('4.2', '4.4')",pilot_1,CD1,39
40,2022-05-19,4,3.0,4.1 v 4.4,,4.1,4.1,4.1,4.1,4.1,4.4,4.4,4.1,4.4,4.1,4.4,4.4,4.4,4.4,tie,4.1,4.1,4.1,4.4,4.4,,checked whole row,,Master Master,"('4.1', '4.4')",pilot_1,CD1,40
41,2022-05-19,4,4.0,4.2 v 4.3,,4.2,4.2,4.2,4.3,tie,4.3,4.3,4.3,4.2,4.3,4.2,4.3,4.2,4.3,4.3,tie,4.3,4.3,4.2,,0.0,0,2.0,Master Master,"('4.2', '4.3')",pilot_1,CD1,41
42,2022-05-20,4,2.0,4.1 v 4.4,,4.1,4.1,4.1,4.1,4.1,4.4,4.4,4.1,4.4,4.1,4.4,4.4,4.4,4.4,4.1,tie,4.1,4.1,4.4,4.4,,,,Master Master,"('4.1', '4.4')",pilot_1,CD1,42
43,2022-05-20,4,1.0,4.2 v 4.3,,4.3,4.3,Tie,4.3,4.3,Tie,4.2,Tie,4.2,4.2,4.3,4.3,4.2,4.2,4.3,Tie,4.3,4.3,4.3,4.2,0.0,0,4.0,Master Master,"('4.2', '4.3')",pilot_1,CD1,43
44,2022-05-20,4,4.0,4.1 v 4.3,,4.3,4.3,tie,4.1,4.1,4.1,4.1,4.3,4.1,4.3,4.1,4.3,4.1,4.1,4.1,4.1,4.1,4.1,4.1,,0.0,0,1.0,Master Master,"('4.1', '4.3')",pilot_1,CD1,44
45,2022-05-20,4,3.0,4.2 v 4.4,,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,tie,4.4,4.4,4.2,4.2,4.4,4.2,,,checked whole row,,Master Master,"('4.2', '4.4')",pilot_1,CD1,45
46,2022-05-20,4,2.0,4.1 v 4.2,,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,tie,4.1,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,,checked whole row,,Master Master,"('4.1', '4.2')",pilot_1,CD1,46
47,2022-05-20,4,1.0,4.3 v 4.4,,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.3,4.4,4.4,4.4,4.3,4.3,4.4,Tie,4.4,4.3,0.0,0,1.0,Master Master,"('4.3', '4.4')",pilot_1,CD1,47
